,id,location,morphology,x,y,sph,disk,irr,ps
77,78,"[556, 742]","[0.030826359179538514, 0.0001895971485616673, 6.08570199585081e-05, 0.9689231866519413]",556,742,0.030826359179538514,0.0001895971485616673,6.08570199585081e-05,0.9689231866519413
78,79,"[564, 888]","[-0.0006913075077361759, 0.0002645693001649687, 0.002025831931764013, 0.9984009062758072]",564,888,-0.0006913075077361759,0.0002645693001649687,0.002025831931764013,0.9984009062758072
79,80,"[565, 173]","[0.0032856116062312426, 0.0009654735585033014, 0.005508991891588546, 0.9902399229436769]",565,173,0.0032856116062312426,0.0009654735585033014,0.005508991891588546,0.9902399229436769
80,81,"[583, 339]","[0.0, 0.25369447552146673, 0.7356389694013366, 0.010666555077196743]",583,339,0.0,0.25369447552146673,0.7356389694013366,0.010666555077196743
81,82,"[580, 637]","[0.0, 0.2086715666734162, 0.7380384055461948, 0.05329002778038904]",580,637,0.0,0.2086715666734162,0.7380384055461948,0.05329002778038904
82,83,"[582, 166]","[2.4576971591763288e-05, 0.0, 0.0, 0.9999754230284083]",582,166,2.4576971591763288e-05,0.0,0.0,0.9999754230284083
83,84,"[593, 826]","[0.0, 0.9999839716074816, 1.6028392518359354e-05, 0.0]",593,826,0.0,0.9999839716074816,1.6028392518359354e-05,0.0
84,85,"[595, 444]","[0.0006259677106422058, 0.9993556662973392, 1.8365992018623295e-05, 0.0]",595,444,0.0006259677106422058,0.9993556662973392,1.8365992018623295e-05,0.0
85,86,"[590, 125]","[0.009773147201747481, 0.0, 0.0, 0.9902268527982525]",590,125,0.009773147201747481,0.0,0.0,0.9902268527982525
86,87,"[597, 912]","[0.00011549042157774291, 5.808705698025839e-05, 0.0, 0.999826422521442]",597,912,0.00011549042157774291,5.808705698025839e-05,0.0,0.999826422521442
87,88,"[606, 42]","[0.0022704368442523683, 0.0, 0.0, 0.9977295631557477]",606,42,0.0022704368442523683,0.0,0.0,0.9977295631557477
88,89,"[607, 703]","[0.00024124447251907012, 6.86729667004627e-05, 0.0, 0.9996900825607805]",607,703,0.00024124447251907012,6.86729667004627e-05,0.0,0.9996900825607805
89,90,"[614, 349]","[0.21164810247450652, 0.7700941554922348, 0.012158429330475722, 0.0060993127027829065]",614,349,0.21164810247450652,0.7700941554922348,0.012158429330475722,0.0060993127027829065
90,91,"[615, 954]","[0.005730106615338764, 0.0, 0.0, 0.9942698933846612]",615,954,0.005730106615338764,0.0,0.0,0.9942698933846612
91,92,"[643, 381]","[7.322022324357155e-06, 0.9993004513608418, 0.0006922266168338597, 0.0]",643,381,7.322022324357155e-06,0.9993004513608418,0.0006922266168338597,0.0
92,93,"[639, 308]","[0.020467247825995544, 0.0037452150313700243, 0.007296580853745184, 0.9684909562888893]",639,308,0.020467247825995544,0.0037452150313700243,0.007296580853745184,0.9684909562888893
93,94,"[642, 663]","[0.030607915762109243, 0.0004450281998765235, 0.0020934825322852786, 0.966853573505729]",642,663,0.030607915762109243,0.0004450281998765235,0.0020934825322852786,0.966853573505729
